"","Plant","VSLNumber","SampleID","Day_Initial_Actual","spoilagetype","Log10CFU_Initial","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI","Log10CFU_Initial_1logRed","Log10CFU_Initial_2logRed","CFU_Initial","CFU_Initial_1logRed","CFU_Initial_2logRed"
"56","Upstate Buffalo","434","33-1",1,"ppc",0.399872377,12700000,30300000,39600000,1.76e+08,20900,61,"OK","OK","OK","OK","OK","OK",-0.600127623,-1.600127623,2.51114838993282,0.251114838993282,0.0251114838993282
"57","Upstate Buffalo","434","34",1,"ppc",-0.184178355,20300000,2.05e+08,3.88e+08,2.3e+10,113,31,"OK","OK","OK","OK","OK","OK",-1.184178355,-2.184178355,0.654367384874455,0.0654367384874455,0.00654367384874455
"58","Upstate Buffalo","439","33-1",0,"ppc",2.503205069,3e+07,1000,2440,2.27e+08,189000,2240,"OK","<","OK","OK","OK","OK",1.503205069,0.503205069,318.570141923816,31.8570141923816,3.18570141923816
"59","Upstate Buffalo","439","33-2",0,"ppc",1.337773693,32800000,3e+07,2.52e+08,3.32e+08,126000,2620,"OK","OK","OK","OK","OK","OK",0.337773693,-0.662226307,21.7657528273065,2.17657528273065,0.217657528273065
"60","Upstate Buffalo","441","93-2",2,"ppc",0.432413626,42800000,1.09e+08,4.07e+08,4.69e+08,89300,10,"OK","OK","OK","OK","OK","OK",-0.567586374,-1.567586374,2.706534865304,0.2706534865304,0.02706534865304
"61","Upstate Buffalo","458","34-1",2,"ppc",0.484675942,3e+06,8.7e+07,1.9e+08,2.1e+09,58000,100,"OK","OK","OK","OK","OK","OK",-0.515324058,-1.515324058,3.05264246954153,0.305264246954153,0.0305264246954153
"62","Upstate Buffalo","Aim2","Prelim",1,"ppc",NA,8270000,2025000,3.86e+08,NA,7760,0,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"63","Upstate Rochester","434","21",0,"ppc",0.587448751,16300000,2700000,287000,14600000,3590,2110,"OK","OK","OK","OK","OK","OK",-0.412551249,-1.412551249,3.86766411498708,0.386766411498708,0.0386766411498708
"64","Upstate Rochester","434","22",0,"ppc",1.570184101,2.03e+08,1.71e+09,1.63e+10,4.54e+09,4e+05,72,"OK","OK","OK","OK",">","OK",0.570184101,-0.429815899,37.1692759320959,3.71692759320959,0.371692759320959
"65","Upstate Rochester","434","22-1",0,"ppc",0.808223723,28900000,4.35e+08,2.11e+08,3.57e+08,1360000,1270,"OK","OK","OK","OK","OK","OK",-0.191776277,-1.191776277,6.43018877557536,0.643018877557536,0.0643018877557536
"66","Upstate Rochester","434","23",0,"ppc",0.330881576,225000,1.22e+08,1.05e+09,2.12e+08,256,31,"OK","OK","OK","OK","OK","OK",-0.669118424,-1.669118424,2.14230635450598,0.214230635450598,0.0214230635450598
"67","Upstate Rochester","434","23-2",0,"ppc",-0.138699355,31800,2350000,2130000,5.93e+08,112,154,"OK","OK","OK","OK","OK","OK",-1.138699355,-2.138699355,0.726608786074269,0.0726608786074269,0.00726608786074269
"68","Upstate Rochester","434","24",0,"ppc",0.679560654,NA,5.83e+08,1.01e+11,1.63e+11,4e+05,532,"OK","OK","OK","OK",">","OK",-0.320439346,-1.320439346,4.78146139852405,0.478146139852405,0.0478146139852405
"69","Upstate Rochester","439","23-2",0,"ppc",1.304997509,1400000,51700000,2.17e+08,2.57e+08,368,21,"OK","OK","OK","OK","OK","OK",0.304997509,-0.695002491,20.1835478689115,2.01835478689115,0.201835478689115
"70","Upstate Rochester","441","83-2",2,"ppc",1.708120881,24300000,1.07e+08,6.07e+08,8.59e+08,26500,41,"OK","OK","OK","OK","OK","OK",0.708120881,-0.291879119,51.0647113095566,5.10647113095566,0.510647113095566
