"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"51","Cornell Dairy","439","62","NotSpoiled",245,368,634,5980,337,327,"OK","OK","OK","OK","OK","OK"
"52","Cornell Dairy","439","62-1","spore",246,388,593,55500,450,338,"OK","OK","OK","OK","OK","OK"
"53","Cornell Dairy","439","63","ppc",499000,1000,266,3900,6200,246,"OK","<","OK","OK","OK","OK"
"54","Cornell Dairy","439","63-1","NotSpoiled",276,174,419,4500,307,205,"OK","OK","OK","OK","OK","OK"
"55","Cornell Dairy","442","32","NotSpoiled",634,471,570,399,674,552,"OK","OK","OK","OK","OK","OK"
"56","Cornell Dairy","442","32-1","NotSpoiled",501,1210,1830,4330,552,613,"OK","OK","OK","OK","OK","OK"
"57","Cornell Dairy","442","33","NotSpoiled",481,450,540,276,675,501,"OK","OK","OK","OK","OK","OK"
"58","Cornell Dairy","442","33-1","NotSpoiled",644,501,5490,1220,757,654,"OK","OK","OK","OK","OK","OK"
"59","Garelick Farms","435","42","spore",1550,2760,25200,4090000,550,660,"OK","OK","OK","OK","OK","OK"
"60","Garelick Farms","435","42-1","spore",511,25400,6030,661000,532,501,"OK","OK","OK","OK","OK","OK"
"61","Garelick Farms","435","42-2","spore",12100,2560,13700,231000,511,491,"OK","OK","OK","OK","OK","OK"
"62","Garelick Farms","435","43","spore",174,133,22900,103000,220,260,"OK","OK","OK","OK","OK","OK"
"63","Garelick Farms","435","43-1","spore",123,705,2190,4e+05,195,246,"OK","OK","OK",">","OK","OK"
"64","Garelick Farms","435","43-2","spore",389,973,10300,73600,225,297,"OK","OK","OK","OK","OK","OK"
"65","Garelick Farms","437","72","ppc",4430000,21500,2530000,15500000,8310,389,"OK","OK","OK","OK","OK","OK"
"66","Garelick Farms","437","72-1","ppc",10800000,2.18e+08,4310000,34500000,4710,327,"OK","OK","OK","OK","OK","OK"
"67","Garelick Farms","437","72-2","spore",1960,99100,7930000,4.1e+07,256,276,"OK","OK","OK","OK","OK","OK"
"68","Garelick Farms","437","73","ppc",8770000,16000,5130000,1970000,3220,348,"OK","OK","OK","OK","OK","OK"
"69","Garelick Farms","437","73-1","spore",266,103000,1.5e+07,9800000,266,460,"OK","OK","OK","OK","OK","OK"
"70","Garelick Farms","437","73-2","ppc",6550000,4050,57800,1380000,52700,338,"OK","OK","OK","OK","OK","OK"
"71","Garelick Farms","440","42","spore",307,3900,168000,350000,164,143,"OK","OK","OK","OK","OK","OK"
"72","Garelick Farms","440","42-1","spore",245,3140,207000,3200000,113,113,"OK","OK","OK","OK","OK","OK"
"73","Garelick Farms","440","42-2","spore",245,4750,63100,1110000,153,102,"OK","OK","OK","OK","OK","OK"
