"","scenario","day","mean","sd"
"182","MB_WorstPPCVSL434_LT","7",2.89595174646145,3.46443534801548
"183","MB_WorstPPCVSL434_LT","8",3.36222112299867,3.54853020894528
"184","MB_WorstPPCVSL434_LT","9",3.760500811604,3.5868886755541
"185","MB_WorstPPCVSL434_LT","10",4.10025369397719,3.59256620307962
"186","MB_WorstPPCVSL434_LT","11",4.39854237044451,3.5780141116125
"187","MB_WorstPPCVSL434_LT","12",4.66552795616806,3.55489880367939
"188","MB_WorstPPCVSL434_LT","13",4.89976766731078,3.51873995147567
"189","MB_WorstPPCVSL434_LT","14",5.11034953570785,3.48043934833302
"190","MB_WorstPPCVSL434_LT","15",5.29436598139639,3.4375023986316
"191","MB_WorstPPCVSL434_LT","16",5.45585625903754,3.39034703949484
"192","MB_WorstPPCVSL434_LT","17",5.59948000928159,3.34004057466052
"193","MB_WorstPPCVSL434_LT","18",5.72755114808788,3.28918995562499
"194","MB_WorstPPCVSL434_LT","19",5.84615643334181,3.23973360388041
"195","MB_WorstPPCVSL434_LT","20",5.95454689783506,3.19157534464848
"196","MB_WorstPPCVSL434_LT","21",6.05128662812336,3.14580466526727
"197","MB_WorstPPCVSL434_LT","22",6.13787760144946,3.10168545188524
"198","MB_WorstPPCVSL434_LT","23",6.21743172536952,3.05949099785429
"199","MB_WorstPPCVSL434_LT","24",6.29112749347433,3.01918773299519
"200","MB_WorstPPCVSL434_LT","25",6.35871950280818,2.98004440480909
"201","MB_WorstPPCVSL434_LT","26",6.42210304396214,2.94323191270283
"202","MB_WorstPPCVSL434_LT","27",6.4785731267979,2.90792244211318
"203","MB_WorstPPCVSL434_LT","28",6.52918340953574,2.87366445114234
"204","MB_WorstPPCVSL434_LT","29",6.57424817846483,2.84059279986772
"205","MB_WorstPPCVSL434_LT","30",6.61508348077615,2.80784782878405
"206","MB_WorstPPCVSL434_LT","31",6.65366262127935,2.77707210389811
"207","MB_WorstPPCVSL434_LT","32",6.68915204078402,2.74751363329082
"208","MB_WorstPPCVSL434_LT","33",6.72094831911116,2.71921260321343
"209","MB_WorstPPCVSL434_LT","34",6.75051816907179,2.69213039742366
"210","MB_WorstPPCVSL434_LT","35",6.77744180667693,2.66500333783253
"211","NB_BestPPCVSL436_CT","1",-0.615212915937844,0.892384200149431
"212","NB_BestPPCVSL436_CT","2",-0.586108018386291,0.907842840005964
"213","NB_BestPPCVSL436_CT","3",-0.519071632081733,0.950836577471895
"214","NB_BestPPCVSL436_CT","4",-0.421896653752795,1.02870017680245
"215","NB_BestPPCVSL436_CT","5",-0.306609369377764,1.14384766615498
"216","NB_BestPPCVSL436_CT","6",-0.174962324298395,1.28263004435209
"217","NB_BestPPCVSL436_CT","7",-0.0301476255535316,1.40518400393132
"218","NB_BestPPCVSL436_CT","8",0.127631259718409,1.52586366829081
"219","NB_BestPPCVSL436_CT","9",0.296909010841084,1.64821188089569
"220","NB_BestPPCVSL436_CT","10",0.47489025904395,1.76691791400705
"221","NB_BestPPCVSL436_CT","11",0.660686293983414,1.87644708923513
"222","NB_BestPPCVSL436_CT","12",0.847637547887678,1.97596511932452
"223","NB_BestPPCVSL436_CT","13",1.03624838895483,2.07073451870316
"224","NB_BestPPCVSL436_CT","14",1.22863979677987,2.16552385324526
"225","NB_BestPPCVSL436_CT","15",1.42096794148621,2.25327298383937
"226","NB_BestPPCVSL436_CT","16",1.61146218302382,2.33243228446749
"227","NB_BestPPCVSL436_CT","17",1.79721009829384,2.40153082754428
"228","NB_BestPPCVSL436_CT","18",1.97479878234617,2.45703448524715
"229","NB_BestPPCVSL436_CT","19",2.14609482026838,2.50723379787082
"230","NB_BestPPCVSL436_CT","20",2.31121784146501,2.55088254531229
"231","NB_BestPPCVSL436_CT","21",2.47097300837765,2.58622692410282
"232","NB_BestPPCVSL436_CT","22",2.62630360136428,2.6176987406429
"233","NB_BestPPCVSL436_CT","23",2.77824938785066,2.6448537765139
"234","NB_BestPPCVSL436_CT","24",2.92522844224489,2.66721487630327
"235","NB_BestPPCVSL436_CT","25",3.06817761824234,2.68521434755064
"236","NB_BestPPCVSL436_CT","26",3.20714893174026,2.70168145400595
"237","NB_BestPPCVSL436_CT","27",3.34161229311961,2.71713881307874
"238","NB_BestPPCVSL436_CT","28",3.47261321866666,2.7292567927635
"239","NB_BestPPCVSL436_CT","29",3.59597517603179,2.73503358128359
"240","NB_BestPPCVSL436_CT","30",3.71348343802811,2.73732058252462
"241","NB_BestPPCVSL436_CT","31",3.82513044424575,2.7364730365872
"242","NB_BestPPCVSL436_CT","32",3.93060438821411,2.73297996763816
"243","NB_BestPPCVSL436_CT","33",4.02893986885541,2.72599545794439
"244","NB_BestPPCVSL436_CT","34",4.12018646864128,2.71693468527584
"245","NB_BestPPCVSL436_CT","35",4.20624005124361,2.70608201557247
"246","NB_BestPPCVSL436_LT","1",-0.615212915937844,0.892384200149431
"247","NB_BestPPCVSL436_LT","2",-0.586108018386291,0.907842840005964
"248","NB_BestPPCVSL436_LT","3",-0.519071632081733,0.950836577471895
"249","NB_BestPPCVSL436_LT","4",-0.421896653752795,1.02870017680245
"250","NB_BestPPCVSL436_LT","5",-0.306609369377764,1.14384766615498
"251","NB_BestPPCVSL436_LT","6",-0.174962324298395,1.28263004435209
"252","NB_BestPPCVSL436_LT","7",-0.0301476255535316,1.40518400393132
"253","NB_BestPPCVSL436_LT","8",0.127631259718409,1.52586366829081
"254","NB_BestPPCVSL436_LT","9",0.296909010841084,1.64821188089569
"255","NB_BestPPCVSL436_LT","10",0.47489025904395,1.76691791400705
"256","NB_BestPPCVSL436_LT","11",0.660686293983414,1.87644708923513
"257","NB_BestPPCVSL436_LT","12",0.847637547887678,1.97596511932452
"258","NB_BestPPCVSL436_LT","13",1.03624838895483,2.07073451870316
"259","NB_BestPPCVSL436_LT","14",1.22863979677987,2.16552385324526
"260","NB_BestPPCVSL436_LT","15",1.42096794148621,2.25327298383937
