Hour,Isolate,LOG Count,Concentration
120,FSL R10-0941,6.780714046,6.04E+06
120,FSL R10-0941,6.855884336,7.18E+06
144,FSL R10-0941,7.35085727,2.24E+07
144,FSL R10-0941,7.347591879,2.23E+07
144,FSL R10-0941,7.358914903,2.29E+07
144,FSL R10-0941,7.315281138,2.07E+07
144,FSL R10-0941,7.200807805,1.59E+07
144,FSL R10-0941,7.186797103,1.54E+07
168,FSL R10-0941,7.843162488,6.97E+07
168,FSL R10-0941,7.93556494,8.62E+07
168,FSL R10-0941,7.85652647,7.19E+07
168,FSL R10-0941,7.837306762,6.88E+07
168,FSL R10-0941,7.607922051,4.05E+07
168,FSL R10-0941,7.705102106,5.07E+07
192,FSL R10-0941,7.933061815,8.57E+07
192,FSL R10-0941,7.978316949,9.51E+07
192,FSL R10-0941,7.945435692,8.82E+07
192,FSL R10-0941,7.982817449,9.61E+07
192,FSL R10-0941,7.850849357,7.09E+07
192,FSL R10-0941,7.909859544,8.13E+07
216,FSL R10-0941,8.221648803,1.67E+08
216,FSL R10-0941,8.183384289,1.53E+08
216,FSL R10-0941,8.216384573,1.65E+08
216,FSL R10-0941,8.247053375,1.77E+08
216,FSL R10-0941,8.194665322,1.57E+08
216,FSL R10-0941,8.242089965,1.75E+08
240,FSL R10-0941,8.226849987,1.69E+08
240,FSL R10-0941,8.27569854,1.89E+08
240,FSL R10-0941,8.315407941,2.07E+08
240,FSL R10-0941,8.247053375,1.77E+08
240,FSL R10-0941,8.347893666,2.23E+08
240,FSL R10-0941,8.319604048,2.09E+08
264,FSL R10-0941,9.221011218,1.66E+09
264,FSL R10-0941,9.262802499,1.83E+09
264,FSL R10-0941,9.258799762,1.81E+09
264,FSL R10-0941,9.29170192,1.96E+09
264,FSL R10-0941,9.311735828,2.05E+09
264,FSL R10-0941,9.304557252,2.02E+09
288,FSL R10-0941,8.355649147,2.27E+08
288,FSL R10-0941,8.36326853,2.31E+08
288,FSL R10-0941,8.261612106,1.83E+08
288,FSL R10-0941,8.335994465,2.17E+08
288,FSL R10-0941,8.335994465,2.17E+08
288,FSL R10-0941,8.367028701,2.33E+08
