plantName,plantID,ID,homogenized_yn,projectNumber,sampling,sampleID,milkType,size,container,dateProcessed,dateInitial,Day,day,greaterThanLessThan,dataValue,countability,count_type
Battenkill Valley Creamery,A,A_2017a_4490,yes,452,2017a,4490,skim,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D14,14,,1100000,,
Battenkill Valley Creamery,A,A_2017a_4490,yes,452,2017a,4490,skim,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D17,17,,2000,E,
Battenkill Valley Creamery,A,A_2017a_4490,yes,452,2017a,4490,skim,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D21,21,,42000,,
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,DI,3,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D7,7,,280,E,
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D10,10,,66000,,
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D14,14,,2.4E7,,
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D17,17,,5.8E7,,
Battenkill Valley Creamery,A,A_2017a_4492,yes,452,2017a,4492,whole,hg,plastic,2017-05-15T00:00:00Z,2017-05-18T00:00:00Z,D21,21,,3.7E7,,
Battenkill Valley Creamery,A,A_2017b_4595,yes,455,2017b,4595,whole,hg,plastic,2017-09-05T00:00:00Z,2017-09-07T00:00:00Z,DI,2,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2017b_4595,yes,455,2017b,4595,whole,hg,plastic,2017-09-05T00:00:00Z,2017-09-07T00:00:00Z,D7,7,,120000,,
Battenkill Valley Creamery,A,A_2017b_4595,yes,455,2017b,4595,whole,hg,plastic,2017-09-05T00:00:00Z,2017-09-07T00:00:00Z,D10,10,,1.2E7,,
Battenkill Valley Creamery,A,A_2017b_4595,yes,455,2017b,4595,whole,hg,plastic,2017-09-05T00:00:00Z,2017-09-07T00:00:00Z,D14,14,,6.3E7,,
Battenkill Valley Creamery,A,A_2017b_4595,yes,455,2017b,4595,whole,hg,plastic,2017-09-05T00:00:00Z,2017-09-07T00:00:00Z,D17,17,,9.9E7,,
