VSL Number,Product,SampleID,Plant,Date Collected,Date Processed,Day,Test,GreaterThan/LessThan,Count Value,Countability
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,23300000,
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,205,E
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,312000000,
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,,459000000,
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,3930,
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,SPC,,8920,
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,654,
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,409,
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,3070000,
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,,204,E
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D14,SPC,,41100000,
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,D14,CVTA,,25600000,
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,133,E
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D14,SPC,,184,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,D14,CVTA,<,10,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D17,SPC,,908,
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,D17,CVTA,<,10,E
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D17,SPC,,1580,
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,D17,CVTA,,20,E
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D17,SPC,,716,
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,D17,CVTA,<,10,E
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D17,SPC,,399000,
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,D17,CVTA,<,10,E
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D17,SPC,,2300000,
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,D17,CVTA,,1660000,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D17,SPC,,1340,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,D17,CVTA,<,10,E
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D17,SPC,,31700,
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,D17,CVTA,<,10,E
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D17,SPC,,294000000,
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,D17,CVTA,<,1000,E
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D17,SPC,,235000000,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,D17,CVTA,,270000000,
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D17,SPC,,204,E
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,D17,CVTA,<,100,E
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D17,CVTA,,0,
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,D17,SPC,,0,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D17,SPC,,34800,
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,D17,CVTA,,1190,
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D17,SPC,,0,S
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,D17,CVTA,,31,E
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D17,SPC,,2910,
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,D17,CVTA,<,10,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D17,SPC,,13200,
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,D17,CVTA,,368,
