Trial,PlateID,Day,HTST_Temp,Storage_Temp,Raw_APC,LPC,MSC,MSC_Spread%,PSC_10,PSC_21,PI,APC,CVTA,pH,Particle_Size,Coagulated,IsoID,Genus,Species,AT,Hypothesis,DayInt_SPC
2,90C S6.5C D35 SPC14,35,90,6.5,,,,,,,,1600000,N,5.61,438.8,,,,,,,60
2,75C S6.5C D42 SPC,42,75,6.5,,,,,,,,29400000,N,5.64,405.7,,,,,,,120
2,75C S6.5C D42 SPC1,42,75,6.5,,,,,,,,34200000,N,5.64,472.5,,,,,,,80
3,75C DI SPC,0,75,3,,,,,,,,80,N,6.79,320.7,,,,,,,80
3,75C DI SPC1,0,75,3,,,,,,,,60,N,6.84,309,,,,,,,60
3,85C DI SPC2,0,85,3,,,,,,,,140,N,6.84,331.1,,,,,,,140
3,85C DI SPC3,0,85,3,,,,,,,,120,N,6.82,316,,,,,,,120
3,90C DI SPC4,0,90,3,,,,,,,,20,N,6.84,357.3,,,,,,,20
3,90C DI SPC5,0,90,3,,,,,,,,0,N,6.87,342.4,,,,,,,0
3,75C DI SPC,0,75,6.5,,,,,,,,80,N,6.79,320.7,,,,,,,80
3,75C DI SPC1,0,75,6.5,,,,,,,,60,N,6.84,309,,,,,,,60
3,85C DI SPC2,0,85,6.5,,,,,,,,140,N,6.84,331.1,,,,,,,140
3,85C DI SPC3,0,85,6.5,,,,,,,,120,N,6.82,316,,,,,,,120
3,90C DI SPC4,0,90,6.5,,,,,,,,20,N,6.84,357.3,,,,,,,20
3,90C DI SPC5,0,90,6.5,,,,,,,,0,N,6.87,342.4,,,,,,,0
3,75C DI SPC,0,75,10,,,,,,,,80,N,6.79,320.7,,,,,,,80
3,75C DI SPC1,0,75,10,,,,,,,,60,N,6.84,309,,,,,,,60
3,85C DI SPC2,0,85,10,,,,,,,,140,N,6.84,331.1,,,,,,,140
3,85C DI SPC3,0,85,10,,,,,,,,120,N,6.82,316,,,,,,,120
3,90C DI SPC4,0,90,10,,,,,,,,20,N,6.84,357.3,,,,,,,20
3,90C DI SPC5,0,90,10,,,,,,,,0,N,6.87,342.4,,,,,,,0
3,75C S10C D3 SPC,3,75,10,,,,,,,,60,N,6.78,319.4,,,,,,,80
3,75C S10C D3 SPC1,3,75,10,,,,,,,,120,N,6.81,328.1,,,,,,,60
3,85C S10C D3 SPC2,3,85,10,,,,,,,,140,N,6.84,316.4,,,,,,,140
3,85C S10C D3 SPC3,3,85,10,,,,,,,,80,N,6.83,341.1,,,,,,,120
3,90C S10C D3 SPC4,3,90,10,,,,,,,,60,N,6.84,341.6,,,,,,,20
3,90C S10C D3 SPC5,3,90,10,,,,,,,,160,N,6.85,343.5,,,,,,,0
3,75C 10C D5 SPC,5,75,10,,,,,,,,1800,N,6.7,343.8,,,,,,,80
3,75C 10C D5 SPC1,5,75,10,,,,,,,,1600,N,6.71,338.3,,,,,,,60
3,85C 10C D5 SPC2,5,85,10,,,,,,,,1760,Y,6.73,319.3,,,,,,,140
3,85C 10C D5 SPC3,5,85,10,,,,,,,,1560,Y,6.74,352.4,,,,,,,120
3,90C 10C D5 SPC4,5,90,10,,,,,,,,1100,N,6.74,343.2,,,,,,,20
3,90C 10C D5 SPC5,5,90,10,,,,,,,,900,N,6.71,355.8,,,,,,,0
3,75C S3C D7 SPC,7,75,3,,,,,,,,100,N,6.77,328.8,,,,,,,80
3,75C S3C D7 SPC1,7,75,3,,,,,,,,100,N,6.78,354.4,,,,,,,60
3,85C S3C D7 SPC2,7,85,3,,,,,,,,60,N,6.76,368,,,,,,,140
3,85C S3C D7 SPC3,7,85,3,,,,,,,,60,N,6.75,353.7,,,,,,,120
3,90C S3C D7 SPC4,7,90,3,,,,,,,,60,N,6.82,344.5,,,,,,,20
3,90C S3C D7 SPC5,7,90,3,,,,,,,,80,N,6.81,330.8,,,,,,,0
3,75C S6.5C D7 SPC6,7,75,6.5,,,,,,,,120,N,6.74,353.6,,,,,,,80
3,75C S6.5C D7 SPC7,7,75,6.5,,,,,,,,120,N,6.75,364.8,,,,,,,60
3,85C S6.5C D7 SPC8,7,85,6.5,,,,,,,,80,N,6.94,364.1,,,,,,,140
3,85C S6.5C D7 SPC9,7,85,6.5,,,,,,,,60,N,6.95,385,,,,,,,120
3,90C S6.5C D7 SPC10,7,90,6.5,,,,,,,,60,N,6.75,366.8,,,,,,,20
3,90C S6.5C D7 SPC11,7,90,6.5,,,,,,,,80,N,6.75,367.8,,,,,,,0
3,75C S10C D7 SPC14,7,75,10,,,,,,,,4425466,Y,6.55,406.8,,,,,,,80
3,75C S10C D7 SPC15,7,75,10,,,,,,,,4767081,Y,6.57,380.6,,,,,,,60
3,85C S10C D7 SPC16,7,85,10,,,,,,,,683787,Y,6.65,340.7,,,,,,,140
3,85C S10C D7 SPC17,7,85,10,,,,,,,,544554,Y,6.66,340.6,,,,,,,120
3,90C S10C D7 SPC18,7,90,10,,,,,,,,66000,N,6.67,361.7,,,,,,,20
3,90C S10C D7 SPC19,7,90,10,,,,,,,,52000,N,6.67,341,,,,,,,0
3,75C S10C D9 SPC,9,75,10,,,,,,,,6000000,N,6.56,356.2,,,,,,,80
3,75C S10C D9 SPC1,9,75,10,,,,,,,,4600000,N,6.58,350.7,,,,,,,60
3,85C S10C D9 SPC2,9,85,10,,,,,,,,9400000,Y,6.5,333.1,,,,,,,140
3,85C S10C D9 SPC3,9,85,10,,,,,,,,7400000,Y,6.52,337.6,,,,,,,120
3,90C S10C D9 SPC4,9,90,10,,,,,,,,3400000,Y,6.62,341.7,,,,,,,20
3,90C S10C D9 SPC5,9,90,10,,,,,,,,4400000,Y,6.63,335.1,,,,,,,0
