ID,Initial microbial count,LOG Initial microbial count
4960,2.614135643,411.2781556
4961,1.190852766,15.51860809
4963,2.308606945,203.5199302
4966,0.698970004,5
4967,0.698970004,5
4968,0.698970004,5
4970,-1.077558937,0.083645208
4971,0.698970004,5
4972,0.698970004,5
4975,0.963560922,9.195194542
4979,0.986180143,9.686795758
4980,0.683753318,4.827844997
4981,0.698970004,5
4984,0.698970004,5
4985,0.698970004,5
4986,0.698970004,5
4988,-1.8619516,0.013741951
4989,-1.917810464,0.012083411
4990,0.698970004,5
4993,0.899128465,7.927357887
4994,-0.396715049,0.401129822
4995,0.698970004,5
4996,-0.478797123,0.332049535
4998,0.698970004,5
4999,0.698970004,5
5000,0.698970004,5
5004,-3.021047162,0.000952693
5005,0.866582497,7.354996952
5006,-0.056333006,0.878348763
5007,1.177501144,15.04877483
5009,-0.074424837,0.842510192
5010,0.698970004,5
5011,0.698970004,5
5012,0.698970004,5
5013,0.698970004,5
5014,0.698970004,5
5017,-1.384600549,0.041247673
5019,-2.824398842,0.001498308
5020,0.698970004,5
5022,-1.953559996,0.011128586
5023,-1.232593444,0.058533778
5024,-4.056005614,8.79E-05
5025,-2.803237129,0.001573124
5026,0.370991317,2.349585844
5028,-4.364650341,4.32E-05
5030,0.135441052,1.365969657
5031,0.659285533,4.56336842
5032,1.704910714,50.68864879
5033,0.169435966,1.477188664
5035,0.698970004,5
5036,-0.358156121,0.438373082
5037,1.415419895,26.02674729
5038,0.754752996,5.685294886
5041,0.698970004,5
5042,0.484735689,3.05306246
5043,0.698970004,5
5045,0.285062785,1.927803593
5048,0.812692447,6.496694532
5049,0.440123058,2.755009226
5050,0.576630087,3.772507281
5051,0.698970004,5
5053,0.698970004,5
5054,0.698970004,5
5055,0.698970004,5
5056,0.698970004,5
5059,0.698970004,5
5060,-0.192009273,0.642673995
5061,0.168119527,1.472717769
5062,-0.284223265,0.519728742
5063,-0.296956002,0.504712428
5064,1.563931289,36.63796041
5065,-1.201435327,0.06288755
5066,0.145630738,1.39839782
5068,0.698970004,5
5069,0.698970004,5
5071,0.698970004,5
5072,0.698970004,5
5075,0.426658716,2.670906693
5076,0.938054124,8.670699283
5077,0.207656416,1.613081891
5080,0.698970004,5
5084,-1.961856147,0.010918019
5085,-1.381021823,0.041588971
5086,-1.087399288,0.081771264
5088,1.9156032,82.33854716
5090,0.698970004,5
5091,0.698970004,5
5092,-0.101111803,0.792297338
5093,0.698970004,5
5095,0.698970004,5
5096,0.698970004,5
5097,0.698970004,5
5098,0.698970004,5
5099,0.698970004,5
5100,-1.803582204,0.015718742
5101,0.698970004,5
5103,0.698970004,5
5104,1.360627497,22.9418004
5105,0.698970004,5
5107,0.698970004,5
5110,-1.326503405,0.047151617
5111,0.698970004,5
5113,-1.963698351,0.010871805
5114,-0.921092302,0.11992444
5115,-1.735506155,0.018386279
5117,1.549119446,35.40947161
5118,0.96838187,9.297835762
5119,0.887076142,7.710386381
5121,-1.117306683,0.076329658
5122,0.182653589,1.522837591
5123,0.698970004,5
5124,0.110377944,1.289371135
5126,0.698970004,5
5127,0.698970004,5
5128,0.052190498,1.127691997
5129,0.698970004,5
5131,0.698970004,5
5132,0.698970004,5
5133,1.265642211,18.43496047
5134,0.698970004,5
5135,0.698970004,5
5137,0.698970004,5
5142,0.333455845,2.155042526
5143,0.172792627,1.488650088
5144,1.086059492,12.19156595
5146,1.151257389,14.16633114
5147,0.446021706,2.792683417
5148,0.380273198,2.400342407
5150,-0.145497132,0.715324119
5151,-0.217880253,0.605507807
5152,-0.035532029,0.921441931
5155,-0.354022547,0.442565395
5156,0.116519089,1.307733016
5157,-0.53094191,0.29448155
5158,-0.525885523,0.297930165
5160,-0.58925441,0.257481239
5161,0.698970004,5
5162,0.698970004,5
5163,0.698970004,5
5165,-1.146391537,0.071385246
5167,0.698970004,5
5168,5.848022292,704729.2405
5170,0.698970004,5
5171,0.698970004,5
5172,0.698970004,5
5173,0.698970004,5
