Condition,Strain,Dilution,Raw,CFU/mL in 10ml,Day,tnt.cnt.no_growth,Replicate,,,,,,,,
Glycerol,5506,1,8180,8.18E+04,1,cnt,1,,,,,,,,
Glycerol,0008,0,14000,1.40E+05,1,cnt,1,,,,,,,,
Glycerol,031,1,20100,2.01E+05,1,cnt,1,,,,,,,,
Glycerol,0506,1,12900,1.29E+05,1,cnt,1,,,,,,,,
Glycerol,5411,1,3990,3.99E+04,1,cnt,1,,,,,,,,
Glycerol,APC,0,9290,9.29E+04,1,cnt,1,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,1,no_growth,1,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,1,no_growth,1,,,,,,,,
Glycerol,5506,2,299000,2.99E+06,3,cnt,1,,,,,,,,
Glycerol,0008,2,413000,4.13E+06,3,cnt,1,,,,,,,,
Glycerol,031,1,290000,2.90E+06,3,cnt,1,,,,,,,,
Glycerol,0506,2,556000,5.56E+06,3,cnt,1,,,,,,,,
Glycerol,5411,1,108000,1.08E+06,3,cnt,1,,,,,,,,
Glycerol,APC,0,71.5,7.15E+02,3,cnt,1,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,3,no_growth,1,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,3,no_growth,1,,,,,,,,
Glycerol,5506,1,332000,3.32E+06,4,cnt,1,,,,,,,,
Glycerol,0008,1,637000,6.37E+06,4,cnt,1,,checked,,,,,,
Glycerol,031,1,966000,9.66E+06,4,cnt,1,,,,,,,,
Glycerol,0506,1,497000,4.97E+06,4,cnt,1,,,,,,,,
Glycerol,5411,1,62500,6.25E+05,4,cnt,1,,,,,,,,
Glycerol,APC,1,130000,1.30E+06,4,cnt,1,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,4,no_growth,1,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,4,no_growth,1,,,,,,,,
Glycerol,5506,3,7030000,7.03E+07,7,cnt,1,,,,,,,,
Glycerol,0008,3,6000000,6.00E+07,7,cnt,1,,,,,,,,
Glycerol,031,2,1540000,1.54E+07,7,cnt,1,,,,,,,,
Glycerol,0506,2,1760000,1.76E+07,7,cnt,1,,checked,,,,,,
Glycerol,5411,2,2210000,2.21E+07,7,cnt,1,,,,,,,,
Glycerol,APC,2,4010000,4.01E+07,7,cnt,1,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,7,no_growth,1,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,7,no_growth,1,,,,,,,,
Glycerol,5506,6,1020000000,1.02E+05,Inoculum,cnt,2,,,,,,,,
Glycerol,0008,6,1070000000,1.07E+05,Inoculum,cnt,2,,,,,,,,
Glycerol,031,6,1630000000,1.63E+05,Inoculum,cnt,2,,,,,,,,
Glycerol,0506,6,1560000000,1.56E+05,Inoculum,cnt,2,,,,,,,,
Glycerol,5411,6,664000000,6.64E+04,Inoculum,cnt,2,,,,,,,,
Glycerol,5506,1,3480,3.48E+04,0,cnt,2,,checked,,,,,,
Glycerol,0008,0,5420,5.42E+04,0,cnt,2,,,,,,,,
Glycerol,031,0,3190,3.19E+04,0,cnt,2,,,,,,,,
Glycerol,0506,0,4060,4.06E+04,0,cnt,2,,,,,,,,
Glycerol,5411,1,4600,4.60E+04,0,cnt,2,,,,,,,,
Glycerol,APC,0,102,1.02E+03,0,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,0,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,0,no_growth,2,,,,,,,,
Glycerol,5506,1,32200,3.22E+05,1,cnt,2,,,,,,,,
Glycerol,0008,0,30200,3.02E+05,1,cnt,2,,,,,,,,
Glycerol,031,0,4190,4.19E+04,1,cnt,2,,checked,,,,,,
Glycerol,0506,0,13500,1.35E+05,1,cnt,2,,,,,,,,
Glycerol,5411,0,4360,4.36E+04,1,cnt,2,,,,,,,,
Glycerol,APC,0,9290,9.29E+04,1,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Glycerol,5506,1,15900,1.59E+05,3,cnt,2,,,,,,,,
Glycerol,0008,1,162000,1.62E+06,3,cnt,2,,,,,,,,
Glycerol,031,1,441000,4.41E+06,3,cnt,2,,,,,,,,
Glycerol,0506,1,126000,1.26E+06,3,cnt,2,,,,,,,,
Glycerol,5411,1,520000,5.20E+06,3,cnt,2,,checked,,,,,,
Glycerol,APC,1,320000,3.20E+06,3,cnt,2,,,,,,,,
